Matatu Route Number,Destination/ Bus-Stops,Bus pickup point in Nairobi
Matatu         Route Number  1,"Ngong Road, Citam/NPC Valley road, The Junction Mall, Dagoretti",General Post Office/ GPO
Matatu Route Number 2,"Ngong Road, Citam/NPC Valley Rd, The junction Mall, Dagoretti Kikuyu",GPO  or KBS stage
Matatu Route  Number 3,"Ngong Road, Adam;s Arcade, Dagoretti corner",GPO
Matatu Route Number 6,Eastleigh Area/ Pangani Girls/ Pangani Shopping Centre.Kariokor Market,Board the Matatu from Accra Rd or  Along Tom Mboya Street. They are usually mini-buses and they use the kariokor market route.
Matatu Route Number 7C,"Community, Upper hill Area, Kenyatta National Hospital, Nairobi Hospital, Doctors Plaza Silver Springs hotel, NTSA,  Equity Center, TSC, German Center",Board the Citi Hoppa or KBS buses at Kencom House opp Hilton Hotel  or beside KCB Bank along Moi avenue
Matatu Route Number 8,"Ngong road, Kibera Slums/Kibra, Adams Arcade, Toi Market",Board the matatu from Railways bus station.
Matatu Route Number 9,"Eastleigh Area.  Ngara Civil Servants Housing Scheme, K.I.E,Pangani Roundabout.Fig Tree Trade Center Ngara",Board the matatu at Tom Mboya Street or opposite Nairobi County Fire Station.  These matatus use the Ngara Route
Matatu Route Number 11,"South B, Bellevue",Board the matatu from Railways Bus station
Matatu Route Number 15,"Nyayo Stadium, Nairobi west &Madaraka (near the road), Tuskys T-mall, Wilson Airport, Carnivore Simba Sallon, Uhuru Gardens, Langata Shopping Centre, Otiende, Barracks, Langata Cemetry (on the lower side), Nairobi Safari walk and Nairobi National Park, Nairobi Animal Orphanage",Board the matatu from Bus Station main stage or further from the main stage at waiting matatus opp afya center. (the 2nd option is not always available and depends on absence of county askaris)
Matatu Route Number 14,"Langata road upto T-Mall, Strathmore University, Nairobi West",Board Matatu at BS behind Afya Centre
Matatu Route Number 17B,"Thika road, Thika super highway, Roysambu, Kasarani, Santon, Mwiki, St Francis Hospital,","Board the matatu from inside Kenya Bus Station or from outside BS near the St Peter Claviers Catholic Church. For Kasarani, you can also board MSL matatus at Imenti House (along Tom Mboya road)"
Matatu Route Number 23,"Kangemi, Westlands, Uhuru Highway, Kangemi, ABC place, Safaricom House, and Uhuru highway.",Board the Matatu at Odeon cinema / Latema Road off tom Mboya street
Matatu Route Number 24,"Karen Shopping Centre, Hardy, all Langata road routes, Bogani, Bomas of  Kenya, Galleria Shopping Mall, Catholic University, Kenya School of Law, Nairobi Academy, Hill Crest International School, Animal protection, Co-op bank training centre, Giraffe Center, Karen C school.","Kenya Bus Station /BS, Mfangano street, or main buses at Kencom House Moi Avenue"
Matatu Route Number 25,"Baba Ndogo, Thika Road upto GSU flyover.",Board the matau from Timboroa Lane
Matatu Route Number 33,"Ngumo Estate, KNH, Mbagathi, Masai Market",Board the matatu from opp St Peter Claviers Catholic church or near OTC /Salvation Army areas
Matatu Route Number 33,"Embakasi route, through Jogoo road, donholm, City Stadium, Pipeline, Tumaini Estate and Fedha Estate, Avenue Estate",Board the matatu at Muthurwa market or along tom mboya street opp National Archives
Matatu Route Number 34,"Langata Area through Mbagathi road, KNH, T-mall, Wilson Airport, Carnivore, Langata shopping Centre.",Board the Matatu from behind St Peters Clavers Church or Opposite OTC
Matatu Route Number 34 (buses),"JKIA, Jogoo Road, Embakasi, Fedha, Donholm, Pipeline, Utawala,  (Sometimes Mombasa Road)",Board the bus from Kencom or Ambassador stage
Matatu Routes Number 35/60,"Umoja Innercore, Umoja I and Umoja II",Board bus at Ronald Ngala Street Mfangano street intersect opp Naivas Supermarket
Matatu Route Number 44,"Kahawa West, Kamiti Maximum Prison, Zimmerman,  Githurai 44 Roysambu, USIU, Farmers Choice, Northern Bypass",Board bus from opposite Posta Ronald Ngala or matatus from Tuskys Beba beba (formerly)
Matatu Route Number 45,"Thika Road, Thika Superhighway, Githurai 45",Board the buses from Nakumatt Ronald Ngala street (formerly) or opp Posta R/ngala
Matatu Route Number 58,Buru buru,Board at Tom Mboya Street opp National Archives
Matatu Number 100,"Kiambu town, kiambu road, Sharks Palace Kiambu road, CID center,  Ridgeways, Rock city kiambu road, Muthaiga roundabout",Pick the matatu along Ronald Ngala Street all the way to Ring-road Ngara or opp St. peters Claviers Catholic Church
Matatu Number 102,"Kikuyu Township, Dagoretii, Ngong road, The junction mall etc",Board from BS or Kencom
Matatu Number 105,"Kikuyu via Uhuru highway, Westlands, Kangemi, Uthiru, Kinoo",Board the matatu along tom Mboya Street near National Archives or from Railways bus station
Matatu Number 106,"Banana, Muchatha, village Market",Koja Mosque stage
Matatu Number 110,"Kitengela, mlolongo, Athi river",Board from Railways station at the entrance near the railways bus station. Use Metro or Rembo shuttle.
Matatu Number 111,"Ngong, Ngong road, Dagaoretti corner, (sometimes kiserian,)",Board from Kencom or Railways bus station.
Matatu Number 125/126,"Ongata Rongai, Kiserian, Bomas of Kenya, Nazarene University, Catholic University, Multimedia University, Nairobi National Park/ orphanage, Safari walk, Langata Barracks, Galleria, Brookhouse International School, Langata hospital, Langata Police Station, Langata Cemetry",Board from Railways bus station
Matatu Number 146,"Ruiru, Thika Road, Kahawa Wendani, Kahawa Barracks,  Kahawa Sukari, Kenyatta University/ KU, Ruiru Bypass",Board from Mumbi Lane off Ronald Ngala Street
Matatu Number 237,"Thika town, all routes on Thika Road, Kahawa Ruiru",
,,
